projectId,projectName,category,startDate,endDate
pr_31,Prodder,Client Project,2024-01-27,2024-03-09
pr_594,Overhold,Client Project,2024-07-09,2024-08-27
pr_378,Span,Sales Activity,2024-10-22,2025-01-07
pr_103,Regrant,Client Project,2024-09-07,2024-11-23
pr_864,Zaam-Dox,Sales Activity,2024-05-20,2024-06-10
pr_544,Cardify,Sales Activity,2024-06-24,2024-07-22
pr_96,It,Client Project,2024-12-19,2025-01-30
pr_936,Bitchip,Client Project,2024-05-18,2024-06-22
pr_725,Alpha,Sales Activity,2024-08-24,2024-11-16
pr_54,Bamity,Sales Activity,2024-08-17,2024-08-31
pr_824,Fixflex,Client Project,2024-05-09,2024-07-04
pr_548,Transcof,Client Project,2024-01-13,2024-03-09
pr_98,Bytecard,Client Project,2024-07-17,2024-08-28
pr_255,Y-Solowarm,Sales Activity,2024-01-24,2024-02-21
pr_41,Flexidy,Sales Activity,2024-02-15,2024-05-02
pr_468,Rank,Client Project,2024-09-12,2024-10-03
pr_800,Lotstring,Client Project,2024-11-08,2024-12-13
pr_26,Ronstring,Client Project,2024-01-13,2024-03-16
pr_773,Stringtough,Sales Activity,2024-11-28,2025-01-23
pr_163,Latlux,Client Project,2024-04-19,2024-05-31
pr_509,Fix San,Client Project,2024-02-10,2024-03-30
pr_19,Temp,Client Project,2024-12-18,2025-03-05
pr_813,Matsoft,Sales Activity,2024-01-03,2024-01-31
pr_326,Fixflex,Sales Activity,2024-07-21,2024-10-06
pr_758,Voyatouch,Client Project,2024-12-24,2025-01-14
pr_263,Zathin,Sales Activity,2024-12-23,2025-02-24
pr_894,Alphazap,Sales Activity,2024-04-23,2024-06-25
pr_51,Domainer,Client Project,2024-06-21,2024-07-05
pr_411,Daltfresh,Sales Activity,2024-06-09,2024-09-01
pr_676,Gembucket,Client Project,2024-06-26,2024-09-18
pr_700,Zamit,Client Project,2024-06-28,2024-07-19
pr_984,Lotstring,Sales Activity,2024-03-25,2024-06-10
pr_733,Latlux,Client Project,2024-11-26,2024-12-31
pr_649,Transcof,Client Project,2024-12-07,2025-02-01
pr_789,Duobam,Sales Activity,2024-04-13,2024-06-01
pr_864,Fix San,Sales Activity,2024-12-05,2024-12-26
pr_939,Alpha,Sales Activity,2024-04-14,2024-06-09
pr_04,Bitwolf,Sales Activity,2024-09-18,2024-11-13
pr_231,Ventosanzap,Sales Activity,2024-02-01,2024-04-04
pr_227,Stim,Client Project,2024-11-19,2025-01-07
pr_106,Span,Client Project,2024-12-22,2025-02-23
pr_757,Daltfresh,Sales Activity,2024-02-22,2024-04-11
pr_358,Tresom,Client Project,2024-12-13,2025-01-31
pr_56,Zamit,Client Project,2024-10-26,2024-11-09
pr_206,Opela,Sales Activity,2024-02-26,2024-05-20
pr_662,Biodex,Client Project,2024-09-29,2024-12-01
pr_587,Sub-Ex,Client Project,2024-08-25,2024-11-03
pr_276,Greenlam,Sales Activity,2024-01-25,2024-04-04
pr_114,Rank,Sales Activity,2024-01-23,2024-02-13
pr_109,Flowdesk,Client Project,2024-05-28,2024-08-20
pr_614,Sonsing,Client Project,2024-03-04,2024-05-06
pr_520,Fixflex,Client Project,2024-08-13,2024-10-22
pr_455,Cardguard,Client Project,2024-11-20,2025-01-08
pr_852,Zontrax,Client Project,2024-09-01,2024-10-06
pr_540,Daltfresh,Sales Activity,2024-09-16,2024-11-25
pr_358,Alpha,Client Project,2024-10-14,2024-10-28
pr_440,Duobam,Client Project,2024-11-22,2025-02-07
pr_61,Mat Lam Tam,Client Project,2024-03-04,2024-04-01
pr_749,Duobam,Client Project,2024-01-19,2024-03-29
pr_262,Toughjoyfax,Client Project,2024-02-19,2024-03-11
pr_767,Kanlam,Client Project,2024-04-21,2024-07-07
pr_371,Ventosanzap,Sales Activity,2024-12-11,2025-01-08
pr_412,Hatity,Sales Activity,2024-12-06,2024-12-20
pr_788,Daltfresh,Client Project,2024-05-09,2024-06-27
pr_845,Stronghold,Sales Activity,2024-09-11,2024-11-20
pr_352,Mat Lam Tam,Client Project,2024-11-30,2025-02-01
pr_314,Pannier,Sales Activity,2024-06-09,2024-07-14
pr_437,Voltsillam,Client Project,2024-09-03,2024-11-05
pr_05,Sonair,Client Project,2024-12-26,2025-01-16
pr_909,Flowdesk,Sales Activity,2024-04-11,2024-05-16
pr_790,Bitwolf,Sales Activity,2024-04-28,2024-06-30
pr_862,Bitchip,Client Project,2024-04-02,2024-05-28
pr_710,Latlux,Client Project,2024-12-16,2025-02-03
pr_724,Treeflex,Client Project,2024-05-17,2024-05-31
pr_982,Rank,Sales Activity,2024-09-21,2024-12-07
pr_807,Mat Lam Tam,Client Project,2024-01-02,2024-02-20
pr_905,Quo Lux,Client Project,2024-07-20,2024-10-05
pr_337,Tin,Client Project,2024-06-30,2024-09-08
pr_651,Stringtough,Sales Activity,2024-06-01,2024-08-24
pr_615,Bytecard,Sales Activity,2024-11-08,2025-01-03
pr_660,Viva,Sales Activity,2024-11-07,2024-12-12
pr_905,Tampflex,Client Project,2024-04-24,2024-05-08
pr_746,Solarbreeze,Client Project,2024-08-28,2024-10-30
pr_287,Otcom,Sales Activity,2024-01-31,2024-03-13
pr_1000,Veribet,Sales Activity,2024-07-19,2024-09-06
pr_91,Redhold,Client Project,2024-06-24,2024-08-26
pr_859,Aerified,Client Project,2024-05-01,2024-06-19
pr_391,Andalax,Sales Activity,2024-09-17,2024-10-15
pr_870,Tampflex,Sales Activity,2024-11-15,2024-12-27
pr_480,Gembucket,Client Project,2024-09-12,2024-11-07
pr_701,Lotstring,Client Project,2024-07-29,2024-09-23
pr_110,Pannier,Sales Activity,2024-01-06,2024-02-17
pr_369,Bitchip,Client Project,2024-01-17,2024-03-20
pr_617,Flowdesk,Client Project,2024-08-25,2024-09-22
pr_241,Sonsing,Client Project,2024-05-08,2024-07-31
pr_524,Ronstring,Client Project,2024-06-29,2024-08-31
pr_174,Duobam,Sales Activity,2024-06-11,2024-07-30
pr_811,Prodder,Sales Activity,2024-01-25,2024-04-18
pr_898,Span,Sales Activity,2024-10-24,2024-11-21
pr_191,Zaam-Dox,Client Project,2024-10-25,2024-11-22
pr_869,Lotstring,Sales Activity,2024-11-29,2025-01-17
pr_514,Vagram,Sales Activity,2024-01-28,2024-04-21
pr_49,Keylex,Client Project,2024-05-21,2024-08-06
pr_435,Opela,Sales Activity,2024-02-10,2024-03-09
pr_412,Biodex,Client Project,2024-05-07,2024-07-30
pr_770,Y-Solowarm,Client Project,2024-09-27,2024-10-11
pr_980,Zamit,Client Project,2024-11-09,2025-01-11
pr_88,Tempsoft,Client Project,2024-10-30,2024-12-04
pr_525,Job,Client Project,2024-11-16,2024-12-28
pr_364,Flowdesk,Client Project,2024-11-15,2025-01-10
pr_259,Cardguard,Client Project,2024-09-25,2024-11-06
pr_632,Tresom,Client Project,2024-03-20,2024-06-05
pr_320,Sonsing,Client Project,2024-01-06,2024-01-20
pr_112,Tresom,Sales Activity,2024-09-30,2024-12-09
pr_819,Opela,Sales Activity,2024-10-13,2024-10-27
pr_927,Y-Solowarm,Sales Activity,2024-11-24,2025-01-19
pr_304,Redhold,Client Project,2024-09-10,2024-11-26
pr_440,Regrant,Sales Activity,2024-01-31,2024-04-10
pr_193,Konklux,Client Project,2024-10-27,2024-11-17
pr_910,Fintone,Client Project,2024-09-08,2024-10-27
pr_820,Cardify,Client Project,2024-05-15,2024-07-24
pr_17,Tresom,Sales Activity,2024-03-14,2024-03-28
pr_657,Mat Lam Tam,Sales Activity,2024-11-13,2025-01-29
pr_810,Sub-Ex,Sales Activity,2024-02-11,2024-02-25
pr_498,Redhold,Sales Activity,2024-03-09,2024-06-01
pr_290,Fixflex,Sales Activity,2024-08-12,2024-10-07
pr_338,Konklux,Client Project,2024-01-02,2024-02-20
pr_740,Fixflex,Client Project,2024-10-30,2025-01-22
pr_76,Tin,Sales Activity,2024-12-11,2025-01-22
pr_134,Cardguard,Sales Activity,2024-08-03,2024-08-24
pr_309,Redhold,Client Project,2024-08-24,2024-09-14
pr_552,Duobam,Client Project,2024-04-29,2024-06-03
pr_25,Tempsoft,Client Project,2024-09-02,2024-11-25
pr_288,Voltsillam,Client Project,2024-07-12,2024-09-20
pr_531,Subin,Client Project,2024-03-20,2024-04-10
pr_397,Zamit,Sales Activity,2024-11-06,2025-01-01
pr_629,Zathin,Sales Activity,2024-11-25,2025-01-20
pr_428,Fintone,Sales Activity,2024-07-02,2024-08-27
pr_184,Kanlam,Sales Activity,2024-02-11,2024-05-05
pr_939,Holdlamis,Client Project,2024-02-05,2024-04-22
pr_816,Redhold,Client Project,2024-09-06,2024-10-11
pr_33,Alphazap,Sales Activity,2024-07-10,2024-08-14
pr_229,It,Client Project,2024-09-17,2024-10-01
pr_685,Zoolab,Sales Activity,2024-01-29,2024-02-19
pr_301,Subin,Client Project,2024-02-23,2024-03-15
pr_256,Solarbreeze,Client Project,2024-10-14,2024-12-09
pr_673,Rank,Sales Activity,2024-01-14,2024-03-17
pr_329,Tampflex,Client Project,2024-01-20,2024-04-13
pr_172,Temp,Client Project,2024-06-24,2024-08-12
pr_17,Keylex,Sales Activity,2024-01-05,2024-03-15
pr_840,Asoka,Client Project,2024-12-06,2025-02-14
pr_777,Pannier,Client Project,2024-02-14,2024-05-08
pr_864,Latlux,Client Project,2024-01-19,2024-03-15
pr_957,Tempsoft,Sales Activity,2024-02-18,2024-05-05
pr_445,Zamit,Client Project,2024-05-15,2024-07-03
pr_727,Namfix,Client Project,2024-02-12,2024-02-26
pr_226,Solarbreeze,Sales Activity,2024-05-22,2024-08-07
pr_388,Sonair,Sales Activity,2024-12-17,2025-01-07
pr_205,Prodder,Client Project,2024-05-12,2024-07-07
pr_62,Domainer,Client Project,2024-04-11,2024-05-23
pr_739,Bigtax,Client Project,2024-02-14,2024-03-27
pr_268,Ronstring,Sales Activity,2024-04-24,2024-07-03
pr_49,Alpha,Sales Activity,2024-06-22,2024-07-20
pr_396,Stronghold,Sales Activity,2024-11-11,2024-12-30
pr_806,Tampflex,Client Project,2024-01-13,2024-03-16
pr_993,Vagram,Client Project,2024-04-18,2024-05-23
pr_748,It,Sales Activity,2024-03-07,2024-04-25
pr_853,Vagram,Client Project,2024-03-12,2024-06-04
pr_755,Stronghold,Sales Activity,2024-11-17,2025-02-02
pr_755,Andalax,Client Project,2024-04-25,2024-07-04
pr_02,Voltsillam,Client Project,2024-02-21,2024-03-13
pr_20,Andalax,Client Project,2024-07-28,2024-10-13
pr_616,Viva,Client Project,2024-04-10,2024-05-01
pr_172,Asoka,Sales Activity,2024-11-09,2025-01-11
pr_118,Namfix,Sales Activity,2024-01-16,2024-04-09
pr_889,Solarbreeze,Sales Activity,2024-06-23,2024-07-28
pr_618,Bitchip,Sales Activity,2024-07-19,2024-10-04
pr_454,Tin,Client Project,2024-07-23,2024-10-08
pr_155,Prodder,Client Project,2024-09-07,2024-11-23
pr_881,It,Sales Activity,2024-12-26,2025-01-16
pr_317,Trippledex,Sales Activity,2024-04-11,2024-05-09
pr_61,Job,Client Project,2024-09-08,2024-11-24
pr_235,Andalax,Sales Activity,2024-03-07,2024-04-25
pr_571,Kanlam,Sales Activity,2024-02-05,2024-03-25
pr_513,Lotstring,Client Project,2024-02-16,2024-03-15
pr_576,Mat Lam Tam,Client Project,2024-10-14,2024-11-18
pr_373,Veribet,Sales Activity,2024-01-18,2024-03-14
pr_123,Transcof,Sales Activity,2024-09-26,2024-10-10
pr_689,Home Ing,Sales Activity,2024-12-20,2025-02-14
pr_605,Aerified,Client Project,2024-09-05,2024-10-03
pr_758,Rank,Sales Activity,2024-09-24,2024-11-19
pr_267,Stronghold,Sales Activity,2024-09-19,2024-10-31
pr_909,Asoka,Client Project,2024-02-29,2024-03-14
pr_513,Fixflex,Sales Activity,2024-02-27,2024-04-09
pr_311,Subin,Sales Activity,2024-05-17,2024-07-19
pr_683,Holdlamis,Sales Activity,2024-04-19,2024-05-17
pr_456,Quo Lux,Sales Activity,2024-01-19,2024-02-23
pr_450,Zoolab,Sales Activity,2024-01-14,2024-02-04
pr_289,Subin,Sales Activity,2024-01-29,2024-04-22
pr_228,Zamit,Client Project,2024-04-19,2024-05-24
pr_146,Duobam,Client Project,2024-09-30,2024-12-16
pr_654,Duobam,Client Project,2024-12-09,2025-02-10
pr_96,Aerified,Client Project,2024-05-22,2024-08-07
pr_506,Sub-Ex,Client Project,2024-08-02,2024-10-18
pr_426,Hatity,Sales Activity,2024-11-06,2024-12-25
pr_553,Duobam,Client Project,2024-08-21,2024-10-02
pr_936,Transcof,Client Project,2024-09-24,2024-12-03
pr_763,Konklux,Sales Activity,2024-01-12,2024-01-26
pr_661,Lotstring,Sales Activity,2024-08-06,2024-09-03
pr_965,Viva,Sales Activity,2024-06-29,2024-08-31
pr_821,Wrapsafe,Sales Activity,2024-07-22,2024-08-19
pr_180,Otcom,Client Project,2024-06-30,2024-08-04
pr_328,Viva,Sales Activity,2024-03-29,2024-05-17
pr_170,Alpha,Client Project,2024-07-27,2024-09-21
pr_804,Y-find,Client Project,2024-07-01,2024-08-19
pr_597,Cardify,Sales Activity,2024-03-21,2024-05-09
pr_48,Transcof,Client Project,2024-08-11,2024-10-13
pr_815,It,Sales Activity,2024-10-23,2024-12-18
pr_615,Viva,Client Project,2024-02-06,2024-03-19
pr_629,Aerified,Client Project,2024-01-21,2024-02-11
pr_485,Stringtough,Client Project,2024-03-02,2024-05-25
pr_464,Greenlam,Client Project,2024-11-16,2025-01-04
pr_639,Flexidy,Client Project,2024-06-09,2024-07-28
pr_818,Namfix,Client Project,2024-12-27,2025-01-31
pr_828,Bigtax,Client Project,2024-06-24,2024-08-12
pr_527,Fix San,Sales Activity,2024-04-03,2024-04-24
pr_792,Bigtax,Client Project,2024-02-14,2024-04-10
pr_713,Rank,Client Project,2024-11-21,2025-01-16
pr_575,Redhold,Client Project,2024-09-28,2024-10-12
pr_419,Duobam,Client Project,2024-01-12,2024-04-05
pr_48,Y-find,Client Project,2024-11-02,2024-12-14
pr_897,Namfix,Sales Activity,2024-04-27,2024-05-18
pr_49,Fixflex,Client Project,2024-11-19,2025-01-28
pr_576,Mat Lam Tam,Sales Activity,2024-12-12,2025-02-06
pr_336,Zaam-Dox,Sales Activity,2024-07-05,2024-09-13
pr_851,Namfix,Client Project,2024-03-01,2024-04-26
pr_979,Aerified,Client Project,2024-09-12,2024-09-26
pr_708,Bigtax,Client Project,2024-06-01,2024-06-15
pr_604,Prodder,Sales Activity,2024-03-15,2024-05-03
pr_999,Alphazap,Sales Activity,2024-12-05,2025-02-06
pr_573,Rank,Client Project,2024-12-02,2024-12-30
pr_843,Toughjoyfax,Client Project,2024-02-07,2024-02-28
pr_34,Daltfresh,Client Project,2024-12-24,2025-03-18
pr_685,Duobam,Sales Activity,2024-01-16,2024-04-02
pr_821,Redhold,Client Project,2024-03-15,2024-05-17
pr_98,Holdlamis,Sales Activity,2024-02-10,2024-04-13
pr_640,Toughjoyfax,Sales Activity,2024-05-12,2024-07-07
pr_988,Bitchip,Sales Activity,2024-08-10,2024-09-07
pr_543,Matsoft,Sales Activity,2024-03-03,2024-05-12
pr_777,Home Ing,Client Project,2024-03-20,2024-04-17
pr_870,Flowdesk,Client Project,2024-12-24,2025-01-21
pr_26,Tres-Zap,Sales Activity,2024-05-07,2024-05-21
pr_585,Lotlux,Sales Activity,2024-09-25,2024-12-18
pr_110,Namfix,Sales Activity,2024-10-30,2025-01-01
pr_614,Sonair,Client Project,2024-07-15,2024-08-12
pr_553,Daltfresh,Client Project,2024-03-11,2024-04-22
pr_920,Tampflex,Sales Activity,2024-11-24,2025-02-09
pr_966,Zathin,Sales Activity,2024-02-18,2024-03-17
pr_318,Treeflex,Sales Activity,2024-10-07,2024-12-16
pr_655,Sonair,Client Project,2024-09-25,2024-11-13
pr_391,Job,Sales Activity,2024-06-13,2024-08-29
pr_485,Transcof,Sales Activity,2024-11-23,2025-01-25
pr_76,Asoka,Client Project,2024-09-10,2024-10-08
pr_211,Tampflex,Client Project,2024-04-16,2024-06-04
pr_944,Sub-Ex,Sales Activity,2024-12-12,2025-01-30
pr_346,Otcom,Client Project,2024-07-29,2024-10-21
pr_461,Veribet,Client Project,2024-05-01,2024-07-03
pr_883,Prodder,Client Project,2024-10-04,2024-12-06
pr_892,Tempsoft,Sales Activity,2024-01-18,2024-02-08
pr_315,Redhold,Client Project,2024-07-19,2024-09-06
pr_674,Keylex,Sales Activity,2024-01-20,2024-04-13
pr_765,Cardguard,Sales Activity,2024-02-21,2024-03-06
pr_427,Zoolab,Client Project,2024-03-22,2024-04-12
pr_369,Zaam-Dox,Sales Activity,2024-04-10,2024-05-01
pr_590,Hatity,Client Project,2024-02-03,2024-04-06
pr_256,Matsoft,Client Project,2024-07-22,2024-08-19
pr_837,Job,Sales Activity,2024-04-14,2024-07-07
pr_350,Zamit,Client Project,2024-08-04,2024-09-15
pr_860,Zontrax,Sales Activity,2024-01-02,2024-02-20
pr_838,Greenlam,Client Project,2024-04-06,2024-06-08
pr_111,Asoka,Sales Activity,2024-12-13,2025-01-24
pr_185,Y-Solowarm,Client Project,2024-01-04,2024-02-22
pr_965,Stronghold,Sales Activity,2024-11-02,2024-11-16
pr_81,Rank,Sales Activity,2024-10-29,2024-11-12
pr_107,Zoolab,Client Project,2024-12-22,2025-03-02
pr_998,Wrapsafe,Sales Activity,2024-07-21,2024-09-01
pr_90,Transcof,Client Project,2024-12-30,2025-03-10
pr_950,Latlux,Sales Activity,2024-05-12,2024-07-07
pr_249,Matsoft,Client Project,2024-04-23,2024-06-18
pr_971,Stringtough,Sales Activity,2024-09-20,2024-11-15
pr_849,Span,Client Project,2024-01-25,2024-04-11
pr_218,Tin,Sales Activity,2024-05-26,2024-07-28
pr_562,Sonair,Sales Activity,2024-02-19,2024-04-01
pr_239,Flexidy,Client Project,2024-06-09,2024-08-11
pr_514,Bitwolf,Client Project,2024-04-20,2024-05-11
pr_840,Redhold,Client Project,2024-12-02,2024-12-23
pr_867,Alphazap,Client Project,2024-07-08,2024-08-26
pr_767,Tin,Sales Activity,2024-07-08,2024-09-02
pr_228,Bigtax,Client Project,2024-02-15,2024-04-04
pr_942,Stronghold,Sales Activity,2024-02-29,2024-03-14
pr_680,Toughjoyfax,Sales Activity,2024-10-29,2024-12-31
pr_690,Voltsillam,Sales Activity,2024-08-21,2024-09-25
pr_418,Viva,Sales Activity,2024-07-04,2024-08-08
pr_74,Alpha,Client Project,2024-07-02,2024-09-10
pr_46,Bytecard,Sales Activity,2024-09-26,2024-10-17
pr_526,Pannier,Sales Activity,2024-03-21,2024-04-04
pr_950,Namfix,Sales Activity,2024-10-09,2024-12-25
pr_948,Temp,Sales Activity,2024-04-04,2024-05-23
pr_173,Bamity,Client Project,2024-12-14,2025-03-01
pr_852,Sonair,Client Project,2024-03-22,2024-05-24
pr_852,Greenlam,Sales Activity,2024-03-29,2024-04-12
pr_321,Transcof,Client Project,2024-10-16,2024-12-18
pr_488,Gembucket,Sales Activity,2024-06-05,2024-07-24
pr_616,Voyatouch,Sales Activity,2024-02-14,2024-05-08
pr_399,Fixflex,Client Project,2024-01-02,2024-01-23
pr_323,Overhold,Client Project,2024-10-15,2024-12-24
pr_256,Zathin,Sales Activity,2024-10-25,2024-12-06
pr_310,Rank,Sales Activity,2024-05-21,2024-07-16
pr_548,Transcof,Sales Activity,2024-11-09,2025-01-04
pr_03,Namfix,Client Project,2024-03-06,2024-05-08
pr_181,Cookley,Client Project,2024-07-18,2024-08-22
pr_483,Zathin,Sales Activity,2024-10-14,2024-12-30
pr_16,Treeflex,Client Project,2024-01-29,2024-04-01
pr_317,Voltsillam,Sales Activity,2024-08-31,2024-11-23
pr_84,Overhold,Client Project,2024-04-10,2024-06-19
pr_815,It,Sales Activity,2024-06-23,2024-07-28
pr_457,Gembucket,Client Project,2024-02-27,2024-04-16
pr_483,Pannier,Sales Activity,2024-11-12,2024-11-26
pr_56,Zathin,Sales Activity,2024-02-15,2024-03-14
pr_734,Quo Lux,Client Project,2024-09-23,2024-10-07
pr_583,Fixflex,Client Project,2024-01-30,2024-04-09
pr_201,Voyatouch,Client Project,2024-10-01,2024-10-22
pr_827,Ventosanzap,Sales Activity,2024-10-19,2024-11-23
pr_790,Bytecard,Sales Activity,2024-12-05,2025-02-20
pr_440,Latlux,Client Project,2024-12-17,2025-01-07
pr_34,Flexidy,Sales Activity,2024-09-29,2024-11-24
pr_468,Mat Lam Tam,Sales Activity,2024-03-22,2024-04-19
pr_65,Alpha,Client Project,2024-09-07,2024-10-12
pr_65,Solarbreeze,Client Project,2024-05-31,2024-07-19
pr_765,Konklux,Sales Activity,2024-02-29,2024-03-14
pr_368,Span,Client Project,2024-06-07,2024-07-26
pr_516,Solarbreeze,Client Project,2024-04-29,2024-05-13
pr_751,Tres-Zap,Client Project,2024-04-01,2024-04-29
pr_945,Fix San,Sales Activity,2024-03-30,2024-06-08
pr_273,Job,Sales Activity,2024-09-10,2024-10-15
pr_705,Overhold,Sales Activity,2024-02-19,2024-04-22
pr_74,Tempsoft,Sales Activity,2024-07-15,2024-07-29
pr_83,Rank,Client Project,2024-03-03,2024-04-28
pr_973,Vagram,Sales Activity,2024-05-04,2024-06-15
pr_748,Fix San,Sales Activity,2024-04-13,2024-07-06
pr_340,It,Sales Activity,2024-05-01,2024-07-03
pr_680,Solarbreeze,Sales Activity,2024-12-30,2025-01-13
pr_356,Matsoft,Sales Activity,2024-06-09,2024-09-01
pr_42,Fintone,Sales Activity,2024-02-04,2024-03-10
pr_353,Sonair,Client Project,2024-10-13,2024-12-22
pr_263,Aerified,Sales Activity,2024-06-12,2024-07-17
pr_813,Zontrax,Sales Activity,2024-12-20,2025-03-14
pr_337,Zaam-Dox,Client Project,2024-05-28,2024-07-02
pr_760,Zontrax,Sales Activity,2024-04-18,2024-07-11
pr_972,Bamity,Sales Activity,2024-10-21,2025-01-13
pr_620,Redhold,Sales Activity,2024-09-22,2024-10-27
pr_780,Mat Lam Tam,Sales Activity,2024-02-07,2024-02-28
pr_756,Zoolab,Sales Activity,2024-01-18,2024-03-28
pr_470,Pannier,Sales Activity,2024-01-03,2024-02-21
pr_223,Duobam,Sales Activity,2024-11-27,2025-01-29
pr_60,Latlux,Sales Activity,2024-02-09,2024-04-19
pr_359,Toughjoyfax,Sales Activity,2024-07-10,2024-09-04
pr_731,Fix San,Sales Activity,2024-08-06,2024-08-20
pr_880,Rank,Client Project,2024-03-07,2024-05-09
pr_597,Cookley,Sales Activity,2024-12-16,2025-02-17
pr_241,Alpha,Sales Activity,2024-02-18,2024-04-07
pr_825,Lotlux,Client Project,2024-03-13,2024-05-15
pr_118,Span,Sales Activity,2024-01-25,2024-04-11
pr_427,Y-Solowarm,Sales Activity,2024-12-19,2025-01-02
pr_656,Tampflex,Sales Activity,2024-02-26,2024-05-06
pr_399,Sonair,Client Project,2024-08-20,2024-10-22
pr_287,Stringtough,Client Project,2024-06-12,2024-08-07
pr_29,Zaam-Dox,Sales Activity,2024-11-19,2025-01-28
pr_909,Sonair,Client Project,2024-01-02,2024-03-12
pr_906,It,Sales Activity,2024-06-20,2024-08-15
pr_303,Keylex,Client Project,2024-07-29,2024-09-30
pr_24,Hatity,Client Project,2024-11-04,2025-01-27
pr_285,Wrapsafe,Client Project,2024-12-12,2025-01-30
pr_231,Andalax,Client Project,2024-11-13,2024-12-18
pr_166,Zaam-Dox,Sales Activity,2024-12-30,2025-02-24
pr_343,Wrapsafe,Sales Activity,2024-12-22,2025-02-23
pr_307,Otcom,Sales Activity,2024-11-27,2025-02-05
pr_616,Ronstring,Client Project,2024-02-05,2024-04-08
pr_559,Andalax,Client Project,2024-08-05,2024-10-14
pr_144,Veribet,Client Project,2024-04-15,2024-04-29
pr_901,Tempsoft,Client Project,2024-03-01,2024-05-17
pr_148,Sub-Ex,Sales Activity,2024-07-26,2024-09-27
pr_724,Zaam-Dox,Sales Activity,2024-05-05,2024-07-07
pr_747,Quo Lux,Client Project,2024-06-24,2024-08-26
pr_761,Duobam,Client Project,2024-12-16,2025-01-20
pr_642,Trippledex,Sales Activity,2024-08-10,2024-11-02
pr_363,Mat Lam Tam,Client Project,2024-03-02,2024-05-25
pr_305,Fix San,Sales Activity,2024-12-05,2025-02-06
pr_791,Cookley,Client Project,2024-12-26,2025-02-13
pr_943,Latlux,Client Project,2024-08-01,2024-10-03
pr_736,Lotlux,Client Project,2024-10-20,2024-12-29
pr_138,Holdlamis,Client Project,2024-02-15,2024-05-02
pr_763,Tin,Sales Activity,2024-01-01,2024-03-25
pr_269,Redhold,Sales Activity,2024-06-28,2024-07-26
pr_10,Zathin,Sales Activity,2024-05-13,2024-06-10
pr_240,Sonair,Sales Activity,2024-02-29,2024-05-16
pr_511,Pannier,Client Project,2024-11-13,2025-02-05
pr_621,Pannier,Client Project,2024-11-12,2025-02-04
pr_756,Lotstring,Client Project,2024-01-03,2024-03-06
pr_528,Wrapsafe,Sales Activity,2024-11-06,2024-11-20
pr_955,Stim,Client Project,2024-03-07,2024-05-23
pr_195,Regrant,Client Project,2024-04-28,2024-07-07
pr_194,Duobam,Client Project,2024-02-15,2024-04-11
